@relation 'arff/1train.arff-weka.filters.unsupervised.attribute.Remove-R4-12,45-49'

@attribute duration_beats numeric
@attribute pitch numeric
@attribute duration_s numeric
@attribute prev_dur_beats numeric
@attribute prev_pitch numeric
@attribute prev_dur_s numeric
@attribute interval_prev numeric
@attribute next_dur_beats numeric
@attribute next_pitch numeric
@attribute next_dur_s numeric
@attribute interval_next numeric
@attribute pitch_in_oct {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute pitch_in_key {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute tonic_chord_tone {0,1}
@attribute dominant_chord_tone {0,1}
@attribute prob_chord_I numeric
@attribute prob_chord_ii numeric
@attribute prob_chord_iii numeric
@attribute prob_chord_IV numeric
@attribute prob_chord_V numeric
@attribute prob_chord_vi numeric
@attribute prob_chord_vii numeric
@attribute chord {0,1,2,3,4,5,6}
@attribute pitch_in_chord {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute current_chord_tone {0,1}
@attribute nar_rd numeric
@attribute nar_rr numeric
@attribute nar_id numeric
@attribute nar_cl numeric
@attribute nar_pr numeric
@attribute nar_co numeric
@attribute beat_in_measure numeric
@attribute metric_strength {0,1,2,3}
@attribute phrase_num numeric
@attribute velocity numeric

@data
2,80,1.436301,0.25,75,0.179538,5,1,79,0.71815,-1,8,1,0,0,0.25,0,0,0.25,0,0.25,0,0,1,0,0,0,0,1,5,8,0,3,0,47.44006
1,79,0.71815,2,80,1.436301,-1,0.75,75,0.538613,-4,7,0,1,0,0.25,0,0,0.25,0,0.25,0,0,0,1,0,0,0,2,1,1,2,2,0,26.82553
0.75,75,0.538613,1,79,0.71815,-4,0.25,75,0.179538,0,3,8,0,0,0.25,0,0,0.25,0,0.25,0,0,8,0,0,0,1,0,4,7.2,3,1,0,52.4184
0.25,75,0.179538,0.75,75,0.538613,0,2,78,1.436301,3,3,8,0,0,0.25,0,0,0.25,0,0.25,0,0,8,0,0,0,0,2,0,10,3.75,0,0,90.76664
2,78,1.436301,0.25,75,0.179538,3,1,77,0.71815,-1,6,11,0,1,0.5,0,0.75,0,0.25,0.5,0.25,2,7,1,0,0,0,1,3,6,0,3,0,53.97274
1,77,0.71815,2,78,1.436301,-1,0.75,71,0.538613,-6,5,10,0,0,0.5,0,0.75,0,0.25,0.5,0.25,2,6,0,0,1.5,1,1,1,1,2,2,0,21.71636
0.75,71,0.538613,1,77,0.71815,-6,0.25,71,0.179538,0,11,4,1,0,0.5,0,0.75,0,0.25,0.5,0.25,2,0,1,0,0,0,0,6,5.8,3,1,0,34.678
0.25,71,0.179538,0.75,71,0.538613,0,2,75,1.436301,4,11,4,1,0,0.5,0,0.75,0,0.25,0.5,0.25,2,0,1,0,0,0,2,0,10,3.75,0,0,55.9489
2,75,1.436301,0.25,71,0.179538,4,0.5,74,0.359075,-1,3,8,0,0,0.2,0,0.2,0,0.2,0,0,0,8,0,0,0,0,1,4,7.2,0,3,0,56.29811
0.5,74,0.359075,2,75,1.436301,-1,0.5,75,0.359075,1,2,7,1,1,0.2,0,0.2,0,0.2,0,0,0,7,1,0,0,0,2,1,1,2,2,0,32.95895
0.5,75,0.359075,0.5,74,0.359075,1,0.5,77,0.359075,2,3,8,0,0,0.2,0,0.2,0,0.2,0,0,0,8,0,0,1.5,1,1,1,1,2.5,0,0,59.89873
0.5,77,0.359075,0.5,75,0.359075,2,0.5,80,0.359075,3,5,10,0,0,0.2,0,0.2,0,0.2,0,0,0,10,0,0,0,1,0,2,4.2,3,1,0,34.77345
0.5,80,0.359075,0.5,77,0.359075,3,1.5,82,1.077225,2,8,1,0,0,0.2,0,0.2,0,0.2,0,0,0,1,0,0,0,1,0,3,6,3.5,0,0,57.43535
1.5,82,1.077225,0.5,80,0.359075,2,0.5,77,0.359075,-5,10,3,0,0,0.4,0,0,0.4,0,0.4,0,0,3,0,0,0,1,0,2,4.2,0,3,0,52.69251
0.5,77,0.359075,1.5,82,1.077225,-5,1,79,0.71815,2,5,10,0,0,0.4,0,0,0.4,0,0.4,0,0,10,0,0,0,0,1,5,8,1.5,0,0,27.81815
1,79,0.71815,0.5,77,0.359075,2,0.75,70,0.538613,-9,7,0,1,0,0.4,0,0,0.4,0,0.4,0,0,0,1,0,0,0,2,2,4.2,2,2,0,42.18832
0.75,70,0.538613,1,79,0.71815,-9,0.25,79,0.179538,9,10,3,0,0,0.4,0,0,0.4,0,0.4,0,0,3,0,0,0,0,1,9,7.8,3,1,0,54.5271
0.25,79,0.179538,0.75,70,0.538613,9,2,79,1.436301,0,7,0,1,0,0.4,0,0,0.4,0,0.4,0,0,0,1,0,1.5,1,1,9,7.8,3.75,0,0,74.5401
2,79,1.436301,0.25,79,0.179538,0,1.5,78,1.077225,-1,7,0,1,0,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,8,0,1,0,1,2,0,10,0,3,0,61.7133
1.5,78,1.077225,2,79,1.436301,-1,0.5,78,0.359075,0,6,11,0,1,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,7,1,0,1.5,1,1,1,1,2,2,0,55.79229
0.5,78,0.359075,1.5,78,1.077225,0,0.5,79,0.359075,1,6,11,0,1,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,7,1,0,1.5,1,1,0,10,3.5,0,0,102.0224
0.5,79,0.359075,0.5,78,0.359075,1,0.5,75,0.359075,-4,7,0,1,0,0.25,0.25,0,0.5,0,0.25,0.25,3,7,1,0,1.5,1,1,1,1,0,3,0,68.32626
0.5,75,0.359075,0.5,79,0.359075,-4,0.75,70,0.538613,-5,3,8,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,3,0,0,0,0,1,4,7.2,0.5,0,0,76.96527
0.75,70,0.538613,0.5,75,0.359075,-5,0.25,72,0.179538,2,10,3,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,10,0,0,0,1,0,5,8,1,1,0,61.42459
0.25,72,0.179538,0.75,70,0.538613,2,0.5,72,0.359075,0,0,5,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,0,1,0,0,0,2,2,4.2,1.75,0,0,53.73916
0.5,72,0.359075,0.25,72,0.179538,0,0.5,70,0.359075,-2,0,5,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,0,1,0,1.5,1,1,0,10,2,2,0,52.8967
0.5,70,0.359075,0.5,72,0.359075,-2,0.75,70,0.538613,0,10,3,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,10,0,0,1.5,1,1,2,4.2,2.5,0,0,61.02231
0.75,70,0.538613,0.5,70,0.359075,0,0.25,79,0.179538,9,10,3,0,0,0.25,0.25,0,0.5,0,0.25,0.25,3,10,0,0,1.5,1,1,0,10,3,1,0,60.22039
0.25,79,0.179538,0.75,70,0.538613,9,2,79,1.436301,0,7,0,1,0,0.25,0.25,0,0.5,0,0.25,0.25,3,7,1,0,0,0,1,9,7.8,3.75,0,0,52.17456
2,79,1.436301,0.25,79,0.179538,0,1.5,78,1.077225,-1,7,0,1,0,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,8,0,1,0,1,2,0,10,0,3,0,48.60428
1.5,78,1.077225,2,79,1.436301,-1,0.5,78,0.359075,0,6,11,0,1,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,7,1,0,1.5,1,1,1,1,2,2,0,50.46948
0.5,78,0.359075,1.5,78,1.077225,0,0.5,79,0.359075,1,6,11,0,1,0.333333,0,0.666667,0.333333,0.666667,0.333333,0.666667,2,7,1,0,1.5,1,1,0,10,3.5,0,0,78.2182
0.5,79,0.359075,0.5,78,0.359075,1,0.5,75,0.359075,-4,7,0,1,0,0.125,0.25,0,0.375,0,0.125,0.25,3,7,1,0,1.5,1,1,1,1,0,3,0,53.2266
0.5,75,0.359075,0.5,79,0.359075,-4,0.75,70,0.538613,-5,3,8,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,3,0,0,0,0,1,4,7.2,0.5,0,0,69.44435
0.75,70,0.538613,0.5,75,0.359075,-5,0.25,72,0.179538,2,10,3,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,10,0,0,0,1,0,5,8,1,1,0,66.14432
0.25,72,0.179538,0.75,70,0.538613,2,0.5,72,0.359075,0,0,5,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,0,1,0,0,0,2,2,4.2,1.75,0,0,46.00401
0.5,72,0.359075,0.25,72,0.179538,0,0.5,70,0.359075,-2,0,5,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,0,1,0,1.5,1,1,0,10,2,2,0,53.27223
0.5,70,0.359075,0.5,72,0.359075,-2,0.75,70,0.538613,0,10,3,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,10,0,0,1.5,1,1,2,4.2,2.5,0,0,78.45504
0.75,70,0.538613,0.5,70,0.359075,0,0.25,70,0.179538,0,10,3,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,10,0,0,1.5,1,1,0,10,3,1,0,65.44143
0.25,70,0.179538,0.75,70,0.538613,0,2,82,1.436301,12,10,3,0,0,0.125,0.25,0,0.375,0,0.125,0.25,3,10,0,0,1.5,1,0,0,10,3.75,0,0,54.46026
2,82,1.436301,0.25,70,0.179538,12,1,81,0.71815,-1,10,3,0,0,0,0.25,0,0,0.25,0,0.25,1,1,0,0,0,0,1,12,10,0,3,0,61.4294
1,81,0.71815,2,82,1.436301,-1,0.75,75,0.538613,-6,9,2,0,1,0,0.25,0,0,0.25,0,0.25,1,0,1,1,0,1,2,1,1,2,2,0,50.05806
0.75,75,0.538613,1,81,0.71815,-6,0.25,75,0.179538,0,3,8,0,0,0,0.25,0,0,0.25,0,0.25,1,6,0,0,0,0,0,6,5.8,3,1,0,63.50907
0.25,75,0.179538,0.75,75,0.538613,0,2,80,1.436301,5,3,8,0,0,0,0.25,0,0,0.25,0,0.25,1,6,0,0,0,0,2,0,10,3.75,0,0,71.08663
2,80,1.436301,0.25,75,0.179538,5,1,79,0.71815,-1,8,1,0,0,0.25,0,0,0.25,0,0.25,0,0,1,0,0,0,0,1,5,8,0,3,0,71.73588
1,79,0.71815,2,80,1.436301,-1,0.75,70,0.538613,-9,7,0,1,0,0.25,0,0,0.25,0,0.25,0,0,0,1,0,0,0,2,1,1,2,2,0,38.35125
0.75,70,0.538613,1,79,0.71815,-9,0.25,70,0.179538,0,10,3,0,0,0.25,0,0,0.25,0,0.25,0,0,3,0,0,0,0,0,9,7.8,3,1,0,41.98836
0.25,70,0.179538,0.75,70,0.538613,0,2,79,1.436301,9,10,3,0,0,0.25,0,0,0.25,0,0.25,0,0,3,0,0,0,0,2,0,10,3.75,0,0,60.31037
2,79,1.436301,0.25,70,0.179538,9,1,78,0.71815,-1,7,0,1,0,0.75,0,0.75,0.25,0.75,0.25,0.25,0,0,1,0,0,0,1,9,7.8,0,3,0,43.00485
1,78,0.71815,2,79,1.436301,-1,0.75,74,0.538613,-4,6,11,0,1,0.75,0,0.75,0.25,0.75,0.25,0.25,0,11,0,1,0,1,2,1,1,2,2,0,38.47404
0.75,74,0.538613,1,78,0.71815,-4,0.25,74,0.179538,0,2,7,1,1,0.75,0,0.75,0.25,0.75,0.25,0.25,0,7,1,0,0,1,0,4,7.2,3,1,0,26.11407
0.25,74,0.179538,0.75,74,0.538613,0,2,77,1.436301,3,2,7,1,1,0.75,0,0.75,0.25,0.75,0.25,0.25,0,7,1,0,0,0,2,0,10,3.75,0,0,31.27293
2,77,1.436301,0.25,74,0.179538,3,1,76,0.71815,-1,5,10,0,0,0,0.5,0,0.5,0,0.5,0,1,8,0,0,0,0,1,3,6,0,3,0,24.50549
1,76,0.71815,2,77,1.436301,-1,0.75,71,0.538613,?,4,9,1,0,0,0.5,0,0.5,0,0.5,0,1,7,1,0,1.5,1,1,1,1,2,2,0,11.45095
0.25,66,0.478454,?,?,?,?,0.25,68,0.478454,2,6,9,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,7,1,0,0,0,0,0,10,0.25,0,13,15.82929
0.25,68,0.478454,0.25,66,0.478454,2,0.25,69,0.478454,1,8,11,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,9,0,0,0,0,0,2,4.2,0.5,0,13,28.30869
0.25,69,0.478454,0.25,68,0.478454,1,0.25,68,0.478454,-1,9,0,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,10,0,0,0,1,0,1,1,0.75,0,13,42.61645
0.25,68,0.478454,0.25,69,0.478454,-1,0.25,66,0.478454,-2,8,11,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,9,0,0,1.5,1,1,1,1,1,1,0,46.03138
0.25,66,0.478454,0.25,68,0.478454,-2,0.125,68,0.239227,2,6,9,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,7,1,0,0,1,0,2,4.2,1.25,0,0,36.08576
0.125,68,0.239227,0.25,66,0.478454,2,0.125,69,0.239227,1,8,11,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,9,0,0,1.5,1,1,2,4.2,1.5,0,0,55.76569
0.125,69,0.239227,0.125,68,0.239227,1,0.125,71,0.239227,2,9,0,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,10,0,0,0,1,0,1,1,1.625,0,0,62.56866
0.125,71,0.239227,0.125,69,0.239227,2,0.125,73,0.239227,2,11,2,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,0,1,0,0,1,0,2,4.2,1.75,0,0,58.82057
0.125,73,0.239227,0.125,71,0.239227,2,0.25,71,0.478454,-2,1,4,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,2,0,0,0,1,0,2,4.2,1.875,0,0,48.40423
0.25,71,0.478454,0.125,73,0.239227,-2,0.25,66,0.478454,-5,11,2,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,0,1,0,1.5,1,1,2,4.2,2,2,0,47.42478
0.25,66,0.478454,0.25,71,0.478454,-5,0.75,71,1.435362,5,6,9,1,0,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,7,1,0,0,1,0,5,8,2.25,0,0,40.02053
0.75,71,1.435362,0.25,66,0.478454,5,0.25,71,0.478454,0,11,2,0,1,0.25,0.5,0.333333,0.416667,0.5,0.5,0.5,1,0,1,0,1.5,1,1,5,8,2.5,0,0,43.00621
0.25,71,0.478454,0.75,71,1.435362,0,0.25,73,0.478454,2,11,2,0,1,0.384615,0.538462,0.384615,0.461538,0.384615,0.384615,0.461538,1,0,1,0,0,0,2,0,10,3.25,0,0,29.87269
